     	ε    	proc   	id    	(    	)    	{    	}    record  	;    	struct  	*    	=    	,    	int   	float  	bool   	char   	[    	num   	]    	if    	else   	do    	while  	call   	return  	Opens  	+    	real   	string  	||    	&&    	!    	true   	false  	<    	<=    	>    	>=    	==    	!=    	$    	P'    	P    	D    	A    	M    	T    	X    	C    	S    	MachedS 	OpenS  	L    	E    	G    	F    	B    	H    	I    	Relop  	Elist  
15    	--    	r5    	r5    	--    	--    	--    	--    	r5    	--    	r5    	--    	--    	--    	r5    	r5    	r5    	r5    	--    	--    	--    	r5    	--    	r5    	--    	r5    	r5    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	r5    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	
16    	--    	s21   	s271   	--    	--    	--    	r3    	s30   	--    	s65   	--    	--    	--    	s92   	s93   	s94   	s95   	--    	--    	--    	s96   	--    	s136   	--    	s338   	s344   	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	17    	18    	--    	--    	35    	81    	--    	19    	90    	91    	110   	--    	--    	--    	--    	--    	--    	--    	--    	
17    	--    	--    	--    	--    	--    	--    	r1    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	
18    	--    	s21   	s271   	--    	--    	--    	r3    	s30   	--    	s65   	--    	--    	--    	s92   	s93   	s94   	s95   	--    	--    	--    	s96   	--    	s136   	--    	s338   	s344   	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	17    	18    	--    	--    	35    	81    	--    	19    	90    	91    	110   	--    	--    	--    	--    	--    	--    	--    	--    	
19    	--    	s21   	s271   	--    	--    	--    	r3    	s30   	--    	s65   	--    	--    	--    	s92   	s93   	s94   	s95   	--    	--    	--    	s96   	--    	s136   	--    	s338   	s344   	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	20    	16    	--    	--    	35    	81    	--    	19    	90    	91    	110   	--    	--    	--    	--    	--    	--    	--    	--    	
20    	--    	--    	--    	--    	--    	--    	r2    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	
21    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	s387   	s388   	s389   	s390   	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	22    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	
22    	--    	--    	s23   	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	
23    	--    	--    	--    	s24   	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	
24    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	s387   	s388   	s389   	s390   	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	25    	--    	391   	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	
